,Ingredient,Category,predict,OX
1016,실 곤약 계란 오이 대파 통깨 육수 물 쯔유 백 설탕 미림 식초,Korean,Korean,O
1017,칼국수 오이 양파 양배추 김 고추장 고춧가루 간장 다지다 식초 설탕 올리고당 깨소금 참기름,Korean,Korean,O
1018,단호박 물 스트링치즈 옥수수 당근 빵가루 식용유 소금 후추 달걀,Korean,Korean,O
1019,꽈리 고추 쥬키 니 호박 닭 가슴 살 마르다 고추 흑설탕 간장 물 맛술 청주 즙 물엿 참기름 후춧가루,Korean,Korean,O
1020,고등어 고추장 고춧가루 다지다 간장 설탕 참기름 후추 가루 쪽파 깨,Korean,Korean,O
1021,돼지고기 등심 양파 밀가루 계란 소금 후추 식용유 고춧가루 간장 식초 설탕 청양고추,Korean,Japanese,X
1022,냉면 면 냉면 육수 무쌈 오이 계란 육회 육회 고기 농축액 백 설탕 소금 참기름 후추 다지다 농축액 배 백 설탕 소금 물 냉면 양념장 고추장 백 설탕 고추 가루 식초 매실 농축액 사이다 통깨,Korean,Korean,O
1023,김밥 김 계란 햄 단무지 우엉 당근 오이 밥 참기름 소금 소금,Korean,Japanese,X
1024,대구 시골 생막창 대구 수 제 직화 막창,Korean,Korean,O
1025,무뼈 닭발 월계수 소주 대파 청양고추 식용유 고추장 맵다 고춧가루 다지다 간장 맛술 설탕 참기름 후춧가루,Korean,Korean,O
1026,고구마 설탕 물엿 물 식용유 검다 깨,Korean,Korean,O
1027,민어 회 자숙 문어 상추 깻잎 당근 오이 라임,Korean,Korean,O
1028,바지락 살 밥 깻잎 당근 오이 양파 무순,Korean,Korean,O
1029,오징어 채 써다 돼지고기 애호박 양파 피망 달걀 밥 맛술 고춧가루 간장 설탕 굴소스 다지다 후춧가루 게살,Korean,Korean,O
1030,오이 쌈무 방울토마토 메밀국수 황태 부순 참깨 키위 설탕 고춧가루 고추장 간장 식초 다지다 냉면 육수,Korean,Korean,O
1031,차돌박이 감자 애호박 양파 대파 양념장 고추장 고추 가루 미림 국 간장 멸치액젓 소금 백 설탕 다지다,Korean,Korean,O
1032,보리 쌀 백미 계란 부추 얼 갈이 고추장 참기름 양념 고추 가루 진 간장 식초 참기름 소금 깨소금,Korean,Korean,O
1033,닭 양파 대파 당근 대파 양파 다지다 고추장 고춧가루 간장 물엿 물 식용유,Korean,Korean,O
1034,아침 고등어 고추장 고춧가루 간장 설탕 다지다 물엿 참기름 쪽파,Korean,Korean,O
1035,무 감자 대파 손질 갈치 물 설탕 고춧가루 국 간장 진 간장 다지다 맛술 청주 후춧가루 즙,Korean,Korean,O
1036,다지다 쇠고기 다지다 돼지고기 대파 치 커리 방울토마토 양파 파 마산 치즈 매 실액 간장 청주 부순 참깨 참기름 후춧가루 참기름 꿀 꿀 포도 씨유 연 겨자 식초 소금,Korean,Korean,O
1037,미역 쪽파 두부 달걀 밀가루 소금 후춧가루 간장 식초 고춧가루,Korean,Korean,O
1038,육즙 짬뽕 군 만두 육즙 백 짬뽕 군 만두 해물 믹스 양파 당근 양배추 대파 청양고추 다지다 고춧가루 굴소스 설탕 물,Korean,Korean,O
1039,완도 꼬마 전복 고추 계란 김 가루 쪽파 물 간장 맛술 올리고당 다시마 대파 양파 청양고추,Korean,Korean,O
1040,불리다 쌀 취나물 들기름 국 간장 다시 마물 간장 고추 가루 깨소금 참기름,Korean,Korean,O
1041,삼겹살 햇반 쌈장 고추 참기름 김,Korean,Korean,O
1042,깍두기 햄 밥 깍두기 국물 간장 고추장 설탕 후추 소금 참기름,Korean,Korean,O
1043,쥬키 니 호박 부추 양파 식용유 참기름 고춧가루 다지다 설탕 간장 부순 참깨 소금,Korean,Korean,O
1044,파파 쿡 코다리 물냉면 파파 쿡 코다리 비빔냉면,Korean,Korean,O
1045,장어 양파 쪽파 청주 후추 달걀 다시마 육수 간장 설탕 올리고당 청주 다지다,Korean,Japanese,X
1046,두릅 튀김 가루 식용유 튀김 가루 물,Korean,Korean,O
1047,백 골뱅이 모시조개 어묵 꼬치 대파 청양고추 고추 다시마 물 소금 후추,Korean,Korean,O
1048,낙지 생 새우 바지락 무 된장 청양고추 고추 대파 미나리 다지다 다지다 양파 소주 소금 후추 물,Korean,Korean,O
1049,간장 설탕 다지다 파 다지다 참기름 후추 양파 당근 달걀 애호박 오이 소금 밀가루 물,Korean,Korean,O
1050,식용유 물 박력 분 맥주 얼음,Korean,Korean,O
1051,소고기 고추장 미림 후추 다지다 다지다 김 밥,Korean,Korean,O
1052,떡 꼬치 식용유 깨 고추장 간장 케첩 설탕 올리고당 물,Korean,Korean,O
1053,햇 감자 판 어묵 대파 간장 물 물엿 맛술 다지다 참기름 참깨,Korean,Korean,O
1054,닭똥집 고구마 치킨 파우더 전분 청주 다지다 소금 후추 튀기다 식용유 고추장 간장 케첩 물엿 설탕 간 간장 굴소스 설탕 물엿 삭초 참기름,Korean,Korean,O
1055,묵다 김치 돼지고기,Korean,Japanese,X
1056,건 고구마 나물 다지다 다지다 파 간장 미림 들기름 깨,Korean,Korean,O
1057,무 천일염 까나리 액젓 새우젓 고추 가루 다지다 즙 설탕 쪽파 통깨 배즙 양파 즙,Korean,Korean,O
1058,브로콜리 소시지 다지다 간장 소금 후춧가루,Korean,Korean,O
1059,오슬로 계란말이 팬 달걀 스팸 우유 소금 단촛물 밥,Korean,Western,X
1060,백 골뱅이 아귀 고춧가루 다지다 식초 간장 설탕 파채,Korean,Korean,O
1061,콩나물 대파 청양고추 국 간장 액젓 다지다 소금 멸치 다시마 물,Korean,Korean,O
1062,도토리묵 양파 당근 상추 간장 고춧가루 매실 설탕 다지다 파 다지다 참기름 깨,Korean,Korean,O
1063,양념장 어 우엉 표고버섯 고추 풋 고추 양파 당근 부추 깻잎 식용유 참기름 소금 진 간장 설탕 맛술 청주 식용유 물엿 물,Korean,Korean,O
1064,닭다리 허벅지 살 토란 쪽파 식용유 계란 간장 소금 액젓 고춧가루,Korean,Korean,O
1065,닭고기 감자 당근 대파 고추 가루 고추장 양념 간장 올리고당 청양고추 희다 우유 후추,Korean,Korean,O
1066,제 육 볶음 고기 양파 대파 제 육 볶음 양념 고추장 다지다 백 설탕 말리다 고추 고추 가루 물 진 간장 참기름 후추 치즈 소스 우유 생크림 슬 라이스 치즈 모짜렐라 치즈 후추,Korean,Korean,O
1067,염장 꼬 시래기 양파 당근 설탕 다지다 식초 고추장 참기름 참깨,Korean,Korean,O
1068,간장 장아찌 스팸 밥 부순 참깨 참기름,Korean,Korean,O
1069,양파 소고기 후추 간장 미림 청주 설탕 소금,Korean,Japanese,X
1070,깻잎 간장 고춧가루 올리고당 대파 청양고추,Korean,Korean,O
1071,양파 달걀 간장 미림 설탕 물,Korean,Korean,O
1072,비빔면 골뱅이 깻잎 양파 사과 고추장 설탕 식초 참기름 깨,Korean,Korean,O
1073,돼지고기 등심 안심 계란 밀가루 식빵 대파 쌀밥 매콤 양념장 고추 가루 고추장 물엿 돈가쓰 소스 굴소스 청양고추 후추 연 겨자 후추 모짜렐라 치즈,Korean,Korean,O
1074,닭 다리 정육 양배추 양파 떡볶이 떡 고구마 대파 슬 라이스 치즈 모짜렐라 치즈 사골 육수 양념장 고추 가루 고추장 진 간장 백 설탕 물엿 미림 다지다 가루 후추,Korean,Korean,O
1075,세 발 나물 고춧가루 설탕 국 간장 식초 부순 참깨 참기름,Korean,Korean,O
1076,콩나물 느타리버섯 시금치 당근 양파 당면 소금 후춧가루 설탕 간장 참기름 참깨,Korean,Korean,O
1077,육회 고기 비빔면 배 참기름 간장 다지다 설탕 올리고당 식초 냉면 육수 소금 후추 깨소금,Korean,Korean,O
1078,달걀 식초 소금 물,Korean,Japanese,X
1079,스팸 밥 참기름 소금 후추 깨 카레 가루,Korean,Korean,O
1080,쫄면 당근 양배추 계란 깨소금 육수 냉면 육수 사과 백 설탕 미림 물 고추 가루 고추장 올리고당 식초 매실 농축액 다지다 통깨,Korean,Korean,O
1081,쑥 대추 단호박 냉동 맵쌀 가루 소금 물 설탕,Korean,Korean,O
1082,와사비 간장 쥐포 튀김 가루 물,Korean,Korean,O
1083,찹쌀 가루 소금 뜨겁다 물 쑥 콩가루 소금 설탕,Korean,Korean,O
1084,참치 김치 김치 국물 양파 고추장 설탕 참기름 밥 달걀 실파,Korean,Korean,O
1085,쭈꾸뿅 쭈꾸미 삼겹살 날치 데친 콩나물 깻잎 달걀 우유 버터 주먹밥 후 레이크 밥 참기름,Korean,Korean,O
1086,신선하다 매 생 이 달걀 우유 소금,Korean,Japanese,X
1087,장충동 찰 순대 장충동 고기순대 튀김 반죽 다지다 고추장 케첩 설탕 깨 물,Korean,Korean,O
1088,호가 네 주꾸미 대파 양파,Korean,Korean,O
1089,오징어 꽃게 중하 새우 자 바지락 모시조개 양배추 숙주나물 채 써다 대파 고추 가루 미림 레몬 즙 말리다 고추 크림 육수 버터 밀가루 희다 우유 해물 육수 소금 후추,Korean,Korean,O
1090,멥쌀 찹쌀 달래 명란 젓갈 양파 채 써다 대파 미림 계란,Korean,Korean,O
1091,간장 식초 다지다 다지다 대파 설탕 참기름 깨소금 후추 가루 된장 고추장 다지다 다지다 파 깨소금 배즙 설탕 식초 고추장 고추 가루 된장 식초 설탕 물엿 다지다 소금 깨소금 참기름 편 다지다,Korean,Korean,O
1092,먹다 태 버터 설탕 청양고추 간장,Korean,Korean,O
1093,달걀 식초 소금,Korean,Japanese,X
1094,배추 무 사과 까나리 액젓 고춧가루 매 실액 다지다 부순 참깨 참기름,Korean,Korean,O
1095,찹쌀 가루 소금 뜨겁다 물 식용 꽃 꿀 식용유,Korean,Japanese,X
1096,삼겹살 미나리 깨 소금 후추,Korean,Korean,O
1097,버섯 간장 미림 물 쪽파,Korean,Japanese,X
1098,쌀 물 취나물 간장 깨 쪽파 물 참기름,Korean,Korean,O
1099,대패 오징어 버터 설탕 다지다,Korean,Korean,O
1100,돌아오다 어묵 우동 면,Korean,Japanese,X
1101,테라 오카 계란 간장 달걀,Korean,Korean,O
1102,귀빈 정 돌뼈 편 양파 대파,Korean,Korean,O
1103,대게 딱 지장 다지다 야채 밥,Korean,Korean,O
1104,양양 떡볶이 파 어묵,Korean,Korean,O
1105,연근 물 간장 맛술 흑설탕 물엿 참기름 참깨,Korean,Korean,O
1106,닭똥집 밀가루 굵다 소금 소주 양파 당근 대파 청양고추 소금 후추 참기름,Korean,Korean,O
1107,떡국 떡 배춧잎 콩나물 대파 표고버섯 굴소스 고춧가루 간장 후춧가루 다지다 참기름,Korean,Korean,O
1108,쌀 콩나물 소고기 간장 맛술 설탕 다지다 다지다 파 참기름 후추 물 간장 다지다 파 다지다 고춧가루 깨소금 참기름,Korean,Korean,O
1109,불리다 표고버섯 피망 피망 다지다 다지다 파 고춧가루 굴소스 후춧가루 참기름,Korean,Chinese,X
1110,꼬막 쌀밥 청양고추 쪽파 간장 고춧가루 다지다 설탕 들기름 깨소금,Korean,Korean,O
1111,잡채 밥 김치 슈 레드 피자치즈 굴소스 참기름,Korean,Korean,O
1112,항정살 밥 계란 양파 된장 설탕 물엿 간장 맛술 다지다 참기름 소금 후추,Korean,Korean,O
1113,쇠고기 시판 불고기 양념 전분 가루 소면 다지다 김치 간장 고추장 올리고당 참기름,Korean,Korean,O
1114,순 살 고등어 고추장 설탕 물엿 간장 다지다 튀기다 기름 밀가루 소금 후추,Korean,Korean,O
1115,두피 다지다 돼지고기 부추 만두 두부 칵테일 새우 양념장 고추 가루 청양고추 다지다 것 백 설탕 매실 농축액 참기름 고추장 진 간장 미림,Korean,Korean,O
1116,소 토닉 소주 토닉 워터 레몬 주 소주 미니 홍초 밀키스 주 소주 맥주 사이다 고진 감 래 소주 콜라 맥주 콜사 콜라 사이다,Korean,Korean,O
1117,소면 차돌박이 무 고추장 식초 올리고당 고춧가루 설탕 다지다 참기름 깨 고춧가루 멸치액젓 설탕 다지다 다지다 파 소금 깨,Korean,Korean,O
1118,떡볶이 떡 삼겹살 어묵 양파 파채 고추장 고춧가루 설탕 간장 다시마 육수,Korean,Korean,O
1119,소 불고기 소고기 당근 양파 청양고추 계란 부치다 가루 밀가루 소고기 양념 소금 진 간장 참기름 후추 매실 백 설탕 다지다 양념장 진 간장 식초 참기름 청양고추 다지다 것 백 설탕 고추 가루 통깨,Korean,Korean,O
1120,쌀 황태 채 콩나물 버섯 다지다 새우젓 물,Korean,Korean,O
1121,팥 모듬콩 찹쌀 맵쌀 소금,Korean,Korean,O
1122,밀가루 물 소금 애호박 당근 양파 고추 바지락 국 멸치 다시마 물,Korean,Korean,O
1123,오이 고추 된장 고춧가루 다지다 매 실액 참기름,Korean,Korean,O
1124,떡국 떡 설탕 물엿 물 계피 가루 견과,Korean,Korean,O
1125,순두부 라면 대파 올리브유 계란,Korean,Korean,O
1126,김밥 김 밥 꼬치 전 참기름 소금 깨소금,Korean,Korean,O
1127,계란 잡채 올리브유,Korean,Korean,O
1128,밥 콩나물 오징어 대파 청양고추 다지다 김치 다지다 고춧가루 국 간장 멸치 다시마 육수 달걀,Korean,Korean,O
1129,대구 무 대파 콩나물 두부 미나리 쑥갓 고추 소금 다지다 다시마 육수 멸치 건 새우 양파,Korean,Korean,O
1130,돼지고기 오징어 맛술 대파 느타리버섯 게맛살 계란 밀가루 소금 후추 식용유,Korean,Korean,O
1131,다지다 소고기 떡국 떡 새 송이버섯 간 간장 참기름 소금 양파 후추,Korean,Korean,O
1132,식용유 멸치 건 새우 고추장 설탕 물엿 참기름 참깨,Korean,Korean,O
1133,애호박 다지다 돼지고기 간장 설탕 다지다 다지다 파 참기름 후추 통깨 밀가루 달걀,Korean,Korean,O
1134,갑오징어 새우 살 사과 오이 당근 고추장 꿀 참기름 다지다 식초 부순 참깨,Korean,Korean,O
1135,닭 가슴 살 양송이 표고버섯 느타리버섯 깻잎,Korean,Japanese,X
1136,삶다 고사리 식용유 간장 다지다 파 다지다 참기름 깨소금 물 깔다 도라지 다지다 다지다 대파 소금 참기름 식용유 깨소금 시금치 침용 소금 소금 다지다 대파 다지다 참기름 깨소금,Korean,Korean,O
1137,핫도그 빵 계란 감자 설탕 머스터드 소스,Korean,Western,X
1138,계란 당근 쪽파 소금,Korean,Japanese,X
1139,떡국 떡 매 생 이 굴 다지다 국 간장 소금 참기름 다시마 물,Korean,Korean,O
1140,무 대파 양파 조기 고춧가루 크다 설탕 크다 간장 크다 청주 크다 맛술 크다 다지다 크다 다지다 크다 후춧가루 소금 크다 물,Korean,Japanese,X
1141,통조림 닭 가슴 살 메추리 꽈리 고추 물 간장 올리고당 설탕 청주 참기름 다지다 후추,Korean,Japanese,X
1142,생닭 양파 대파 오이 양배추 사과 상추 소면 라면 양념장 초고추장 식초 백 설탕 깨소금 통깨,Korean,Korean,O
1143,시금치 건 새우 다시마 국물 멸치 된장,Korean,Korean,O
1144,소고기 우둔 살이 나 홍두깨 살 삶다 달걀 꽈리 고추 양파 대파 통후추 물 간장 설탕 맛술,Korean,Korean,O
1145,돼지고기 불고기 스위트콘 모짜렐라 치즈 고추장 고춧가루 설탕 간장 물엿 미림 후추,Korean,Korean,O
1146,당면 소 불고기 양파 당근 애호박 양송이 파프리카 간장 간장 물 설탕 배 후추,Korean,Korean,O
1147,김치 부치다 가루 튀김 가루 물 참치 다지다 양파,Korean,Korean,O
1148,손질 새우 밥 양파 쪽파 올리브유,Korean,Korean,O
1149,콩나물 어묵 물 깨,Korean,Korean,O
1150,맛살 참치 당근 양파 쪽파 소금 후추 올리브유,Korean,Korean,O
1151,국 거리 소고기 무 다지다 소금 후추 국 간장 대파,Korean,Korean,O
1152,라면 물 숙주 삼겹살 청양고추 대파 고춧가루 다지다 다지다 파 식용유,Korean,Korean,O
1153,쇠고기 생 표고버섯 고추,Korean,Japanese,X
1154,홍합 마르다 미역 들깨 가루 다지다 국 간장,Korean,Korean,O
1155,닭다리 정육 대파 닭 모래 집 소금 후추 미림 꼬치 꼬 지 데리야끼 소스 진 간장 물 미림 백 설탕 올리고당 통후추 사과 양파 대파,Korean,Korean,O
1156,쌀 애호박 당근 양파 소고기 계란 건 다시마 건 멸치 중간 참기름 진 간장 매실 농축액 백 설탕 물 올리고당 깨소금 다지다 미림,Korean,Korean,O
1157,밥 계란 스팸 후추 모짜렐라 치즈,Korean,Korean,O
1158,씻다 쌀 물 라면 스프,Korean,Korean,O
1159,밥 파 버터 짜다 먹다 명란 후추,Korean,Japanese,X
1160,삼겹살 밥 상추 깻잎 쌈무 쌈장 당근 오이 고추 김밥 김,Korean,Korean,O
1161,애호박 쌀 가루 물,Korean,Korean,O
1162,가래떡 어묵 무 대파 고추장 간장 꿀 참기름,Korean,Korean,O
1163,족발 양파 깻잎 청양고추 설탕 고춧가루 식초 간장 케첩 다지다 피자치즈,Korean,Korean,O
1164,쇠고기 장조림 대파 얇다 써다 통후추 물 마르다 고추 황 설탕 진 간장 맛술,Korean,Korean,O
1165,감자 스팸 양파 대파 청양고추 고추장 된장 고춧가루 설탕 간장 다지다 물,Korean,Korean,O
1166,주꾸미 밀가루,Korean,Korean,O
1167,오이 쪽파 고추 가루 설탕 액젓 간장 다지다,Korean,Korean,O
1168,파래 깻잎 풋 고추 고추 부치다 가루 물,Korean,Korean,O
1169,새꼬막 양파 당근 단호박 또는 고구마 부치다 가루 물,Korean,Korean,O
1170,어묵 꼬치 다시마 국물 멸치,Korean,Korean,O
1171,쇠고기 새싹 채소 방울토마토 양파 레몬 즙 올리브유 소금 꿀 흑설탕 간장 굴소스 다지다 맛술 참기름 후춧가루,Korean,Korean,O
1172,간장 설탕 깨 김치 밥 베이컨 치즈,Korean,Korean,O
1173,청국장 소고기 양파 대파 고추 가루 김치 두부 물,Korean,Korean,O
1174,라멘 손질 새우 양파 숙주나물 쪽파 올리브유 가쓰오부시,Korean,Korean,O
1175,호떡 믹스 생 모짜렐라 치즈 올리브유 따뜻하다 물,Korean,Western,X
1176,닭발 된장 소주 대파 콩나물 고추장 일반 고춧가루 맵다 고춧가루 다지다 간장 설탕 참기름 소금 후추 물,Korean,Korean,O
1177,오징어 몸통 양파 달걀 빵가루 튀김 가루 소금 후추 바질 가루,Korean,Korean,O
1178,생굴 양파 무 고추 고추 팽이버섯 밀가루,Korean,Korean,O
1179,홍합 오이 양파 당근 대파,Korean,Korean,O
1180,두부 애호박 대파 고추 다시마 국물 멸치 새우젓,Korean,Korean,O
1181,대패 삼겹살 쌀밥 쌈 채소 고기 양념 간장 사과 양파 후추 식초 레몬 즙 미림 백 설탕 양념 쌈장 쌈장 청양고추 참기름 레몬 즙 후추 사이다,Korean,Korean,O
1182,닭 도리 육 닭볶음탕 소스 호박고구마 깔다 감자 오징어채 부치다 가루 떡볶이 떡 부추 깔다 대파 레몬 깻잎 당근 채 고추 고추 로즈마리,Korean,Korean,O
1183,절편 고추장 꿀 견과류,Korean,Korean,O
1184,돼지고기 찌개 풋 호박 양파 대파 어묵 고추장 간장 설탕 새우젓,Korean,Korean,O
1185,깔다 감자 수제비 맛김치 양파 대파 감자탕 겨자 소스 팽이버섯 깻잎 들깨 가루 청양고추 참기름 조미 김 가루,Korean,Korean,O
1186,다지다 소고기 양파 당근 새다 리 쪽파 케찹 우스터소스 다지다 설탕 후추 말리다 허브 달걀 밥 식용유 밀가루 버터 물,Korean,Japanese,X
1187,소면 멸치 국 시 라면 수프 콩나물 대파 다지다 고춧가루 김 가루,Korean,Korean,O
1188,해쉬 브라운 달걀 토마토 작다 것 크로와상 케찹 쌈 채소 피망,Korean,Western,X
1189,닭 대파 양파 김치 감자 소금 후추 수제비 반죽 밀가루 계란 물 소금 겨자 양파 소스 양파 연 겨자 진 간장 백 설탕 식초 물,Korean,Korean,O
1190,삼겹살 대파,Korean,Japanese,X
1191,소고기 슬 라이스 만두 떡 쌀뜨물,Korean,Korean,O
1192,김밥 김 간장 들기름 소금 깨소금,Korean,Korean,O
1193,두피 당면 쪽파 후추 양파 맛 간장 식초 고춧가루 깨소금,Korean,Korean,O
1194,배추 다지다 고추 튀김 가루 물 간장 식초 꿀 깨,Korean,Korean,O
1195,모과 설탕,Korean,Korean,O
1196,굴 배추 청경채 당근 대파 고추 국물 멸치 다시마 국 간장 소금,Korean,Korean,O
1197,호 닭 삼계탕 바질 말리다 펜넬 씨 버터 양파 찹쌀 소금 후추,Korean,Korean,O
1198,대패 삼겹살 고추 가루 진 간장 올리고당 백 설탕 초고추장 식초 깨소금 참기름 매실 농축액 대파,Korean,Korean,O
1199,대파 양배추 양파 애호박 콩나물 홍합 판 어묵 깻잎 고춧가루 맛술 굴소스 국 간장 소금 다지다 후춧가루,Korean,Korean,O
1200,두부 대파 참기름 고춧가루 간장 다지다 부순 참깨,Korean,Korean,O
1201,등 갈비 묵은지 다시마 육수 묵은지 찜 소스 대파 당근 고추 고추 쪽파,Korean,Korean,O
1202,감자 쌀 가루,Korean,Korean,O
1203,소고기 양지 파 무 숙주 느타리버섯,Korean,Korean,O
1204,귤 설탕 식초 베이 킹소 다,Korean,Korean,O
1205,홍시 대봉 찹쌀 가루 물 대추 꿀 소금,Korean,Korean,O
1206,다시마 국물 멸치 물 떡 어묵 양배추 라면 사리 깻잎 순 설탕 간장 고추장 물엿 다지다 참기름 후춧가루,Korean,Korean,O
1207,양배추 다지다 돼지고기 양파 부추 표고버섯 고기 양념 진 간장 소금 백 설탕 올리고당 다지다 참기름 후추 미림 육수 양념 건 다시마 진 간장 소금 백 설탕,Korean,Korean,O
1208,굴 배춧잎 소면 도토리묵 다지다 김치,Korean,Korean,O
1209,생닭 토마토 피망 피망 양파 치킨 스톡 밀가루 화이트와인 커민 가루 바질 가루 설탕 소금 후추,Korean,Western,X
1210,묵다 김치 계란 모짜렐라 치즈 참치 통조림 선택 사항,Korean,Korean,O
1211,돼지 목살 김치 찌개 양념 듬쌈 채소 감자 양파 대파 애호박 멸치 육수 새 송이버섯 청양고추 고추,Korean,Korean,O
1212,목살 당근 양파 양배추 쪽파 고추장 간장 설탕 다지다 후추 미림,Korean,Korean,O
1213,쌀 가루 양배추,Korean,Korean,O
1214,단무지 다지다 다지다 파 고춧가루 참기름,Korean,Korean,O
1215,고기만 두 달걀 대파 다시마 국물 멸치 전분 가루 국 간장 후추,Korean,Korean,O
1216,달걀 소 불고기 느타리 표고버섯 밥,Korean,Japanese,X
1217,소갈비 깔다 밤 당근 깔다 대파 고추 양념 더덕,Korean,Korean,O
1218,계란노른자 간장 미림 설탕,Korean,Korean,O
1219,씨앗 호떡 모짜렐라 치즈 꿀,Korean,Korean,O
1220,무 간장 맛술 설탕 다시마 육수 전분 물 소금 후추,Korean,Japanese,X
1221,해남군 고구마 우유 설탕 소금,Korean,Western,X
1222,오이 쌀 가루 물,Korean,Korean,O
1223,쪽파 대다 판 어묵 고춧가루 간장 맛술 다지다 참기름 물엿 후춧가루,Korean,Korean,O
1224,마르다 표고버섯 절단 꽃게 홍합 살 콩나물 대파 감자전 분 물 설탕 고춧가루 청주 간장 까나리 액젓 다지다 후춧가루 참기름,Korean,Korean,O
1225,만두 배추 양파 표고버섯 순두부 무 레토르트 사골 육수 양념장 다지다 돼지고기 고추 가루 진 간장 국 간장 백 설탕 미림 다지다 대파 양파,Korean,Korean,O
1226,콩나물 무 대파 다시마 고춧가루 새우젓 다지다 국 간장 들깨 가루,Korean,Korean,O
1227,돼지고기 대파 설탕 청주 간장 다지다 물 후춧가루 참기름,Korean,Chinese,X
1228,새우 살 당근 노랗다 파프리카 쌀 다시마 육수,Korean,Korean,O
1229,소 불고기 감 파채 통깨 불고기 양념 진 간장 백 설탕 매실 다지다 참기름 양파 사과 후추 대파,Korean,Korean,O
1230,달걀 고구마 당근 대파,Korean,Korean,O
1231,단호박 꿀 시나몬 가루 우유,Korean,Western,X
1232,대구 살 양배추 브로콜리 밥 물,Korean,Korean,O
1233,쪽파 부치다 가루 달걀 빵가루 가쓰오부시 간장,Korean,Japanese,X
1234,잡 버섯 돼지고기 목살 감자 양파 풋 호박 대파 들기름 고춧가루 고추장 청주 간장 다지다 국 간장,Korean,Korean,O
1235,대구 무 애호박 양파 대파 청양고추 고추 다시마,Korean,Korean,O
1236,양배추 들기름 고춧가루 다지다 된장 간장,Korean,Korean,O
1237,쌀밥 김밥 용김 고추장 참기름 소금 백 설탕 간장 무 절임 무 백 설탕 참기름 소금 깨소금 식초 진 간장,Korean,Korean,O
1238,고추장 간장 고추 가루 액젓 설탕 다지다 후추 돼지 감자 양파 당근 쥬키 니,Korean,Korean,O
1239,애호박 양파 대파 소면 김 가루 다시마 마르다 표고버섯 국물 멸치 물 다지다 고춧가루 간장 참기름 국 간장 소금,Korean,Korean,O
1240,대게 딱 지장 밥 계란노른자 쯔유,Korean,Korean,O
1241,도시락 계란 소고기 볶음 고추장,Korean,Korean,O
1242,달걀 양파 당근 우유,Korean,Japanese,X
1243,도토리묵 김 김치 냉면 육수 소면 마르다 오이 양념 초고추장 백 설탕 고추 가루 깨소금 식초 매실 농축액 참기름,Korean,Korean,O
1244,낙지 당근 양파 대파,Korean,Korean,O
1245,김 스팸 밥 오이 당근 치 커리,Korean,Japanese,X
1246,호빵 시리얼 계란 밀가루 튀기다 기름,Korean,Korean,O
1247,가지 된장 물 쪽파 다지다 올리고당 쪽파 오일,Korean,Korean,O
1248,비빔면 달걀 열무 설탕 다지다 참기름 사과주스,Korean,Korean,O
1249,말리다 표고버섯 애호박 가지 양파 두부 고추장 고춧가루 설탕 간장 국 간장 다지다 들기름,Korean,Korean,O
1250,파래 무 설탕 국 간장 식초 다지다 부순 참깨 참기름,Korean,Korean,O
1251,송이버섯 양파 달걀 간장 쯔유 맛술 꿀 설탕 밥,Korean,Japanese,X
1252,밥 쇠고기 무 참기름 쇠고기 육수,Korean,Japanese,X
1253,대패 삼겹살 대파 양파 고추 백 설탕 참기름 제육 양념 고추 가루 진 간장 올리고당 굴소스 다지다 맛술 후추,Korean,Korean,O
1254,닭 소금 떡볶이 떡 감자 대파 후추 소스 굵다 고춧가루 진 간장 식초 백 설탕 연 겨자 다지다 양파,Korean,Korean,O
1255,콩나물 게맛살 소금 설탕 땅콩 버터 간장 식초 고추냉이 다지다 후춧가루,Korean,Korean,O
1256,커버 치다 초콜릿 식빵 별사탕 장식 초콜렛 펜,Korean,Korean,O
1257,김치 날치 파 밥 참기름,Korean,Korean,O
1258,꼬막 양파 당근 다지다 다지다 파 간장 설탕 깨 참기름,Korean,Korean,O
1259,당근 부치다 가루 달걀 애호박 물 소금,Korean,Korean,O
1260,오징어 오징어짬뽕 라면 당근 양배추 배추 양파 대파 애호박 고추 가루 굴소스 진 간장,Korean,Korean,O
1261,두부 버섯 양파 스테이크 소스 또는 돈까스 소스 소금 후춧가루 달걀 밀가루 빵가루,Korean,Western,X
1262,구기자 물 닭 안심 쌀 찹쌀,Korean,Korean,O
1263,꽃게 늙다 호박 양파 대파 버섯 깻잎 순 고추 두부 무 다시마 국물 멸치 마르다 새우 물 된장 고추장 고춧가루 다지다 다지다 소금,Korean,Korean,O
1264,고구마 소금 식용유,Korean,Korean,O
1265,황태 채 양파 고춧가루 고추장 올리고당 다지다 맛술 참기름 후춧가루 간장,Korean,Korean,O
1266,통조림 햄 대파 양파 감자 고추기름 고춧가루 다지다 새우젓 설탕 표고버섯 우린 물,Korean,Korean,O
1267,불리다 쌀 고구마 비타민 물,Korean,Korean,O
1268,가래떡 고추 가루 백 설탕 소금 후추 쇠고기 다시다 사각 어묵 대파,Korean,Korean,O
1269,두피 소시지 옥수수 콘 피자치즈 토마토 스파게티 소스,Korean,Western,X
1270,피다 오징어 소면 양파 깻잎 오이 고추장 참기름 물엿 설탕 식초,Korean,Korean,O
1271,피다 오징어 파 양파 김치 계란 부치다 가루 물,Korean,Korean,O
